,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
364,WHITE,LOSS,17,16,10,182,5,1,2,1,0,1
365,BLACK,LOSS,14,13,16,182,7,2,2,3,1,1
366,WHITE,LOSS,14,15,11,183,5,1,2,2,0,1
367,BLACK,LOSS,22,10,16,183,8,2,2,2,1,1
368,WHITE,LOSS,10,16,14,184,7,2,2,2,0,1
369,BLACK,LOSS,8,14,16,184,8,2,2,2,1,1
370,WHITE,LOSS,24,16,9,185,4,1,1,2,0,1
371,BLACK,LOSS,15,13,16,185,8,2,2,2,1,1
372,WHITE,LOSS,13,16,11,186,5,1,2,2,0,1
373,BLACK,LOSS,27,10,15,186,7,2,2,2,1,1
374,WHITE,LOSS,23,16,10,187,6,1,1,1,0,1
375,BLACK,LOSS,13,11,16,187,7,2,2,2,2,1
376,WHITE,LOSS,20,16,11,188,5,2,1,2,0,1
377,BLACK,LOSS,29,8,13,188,6,1,2,2,1,1
378,WHITE,LOSS,17,16,10,189,5,1,2,1,0,1
379,BLACK,LOSS,25,11,14,189,7,2,1,2,1,1
380,WHITE,LOSS,18,16,9,190,5,1,1,1,0,1
381,BLACK,LOSS,22,7,14,190,7,2,1,2,1,1
382,WHITE,LOSS,17,15,12,191,6,2,1,2,0,1
383,BLACK,LOSS,12,11,16,191,7,2,2,3,1,1
384,WHITE,LOSS,21,15,12,192,7,1,1,2,0,1
385,BLACK,LOSS,8,14,16,192,8,2,2,2,1,1
386,WHITE,LOSS,16,14,10,193,4,2,1,2,0,1
387,BLACK,LOSS,22,8,15,193,7,2,2,2,1,1
388,WHITE,LOSS,18,15,9,194,3,1,2,2,0,1
389,BLACK,LOSS,11,13,15,194,8,2,1,2,1,1
390,WHITE,LOSS,29,15,8,195,5,1,1,0,0,1
391,BLACK,LOSS,12,11,16,195,7,2,2,3,1,1
392,WHITE,LOSS,32,15,9,196,4,2,1,1,0,1
393,BLACK,LOSS,5,14,16,196,8,2,2,2,1,1
394,WHITE,LOSS,28,15,6,197,4,0,1,0,0,1
395,BLACK,LOSS,18,12,16,197,7,2,2,3,1,1
396,WHITE,LOSS,31,14,6,198,3,0,1,1,0,1
397,BLACK,LOSS,12,15,16,198,8,2,2,2,1,1
398,WHITE,LOSS,23,15,9,199,4,1,1,2,0,1
399,BLACK,LOSS,21,10,14,199,7,2,2,2,0,1
400,WHITE,LOSS,18,16,10,200,5,1,1,2,0,1
401,BLACK,LOSS,22,9,15,200,8,1,2,2,1,1
402,WHITE,LOSS,20,14,11,201,5,2,1,2,0,1
403,BLACK,LOSS,12,12,16,201,8,2,2,2,1,1
404,WHITE,LOSS,17,16,13,202,7,1,2,2,0,1
405,BLACK,LOSS,15,13,15,202,7,2,2,2,1,1
406,WHITE,LOSS,25,15,9,203,4,2,0,2,0,1
407,BLACK,LOSS,28,8,12,203,5,1,2,2,1,1
408,WHITE,LOSS,11,15,13,204,7,2,1,2,0,1
409,BLACK,LOSS,20,11,16,204,7,2,2,2,2,1
410,WHITE,LOSS,18,14,12,205,6,2,1,2,0,1
411,BLACK,LOSS,19,11,16,205,8,2,2,2,1,1
412,WHITE,LOSS,14,15,13,206,7,2,1,2,0,1
413,BLACK,LOSS,27,7,15,206,7,2,2,2,1,1
414,WHITE,LOSS,11,16,12,207,6,2,1,2,0,1
415,BLACK,LOSS,15,8,16,207,7,2,2,3,1,1
416,WHITE,LOSS,17,16,12,208,6,1,2,2,0,1
417,BLACK,LOSS,13,12,16,208,8,2,2,2,1,1
418,WHITE,LOSS,29,15,11,209,5,2,1,2,0,1
419,BLACK,LOSS,15,15,16,209,8,2,2,2,1,1
420,WHITE,LOSS,15,15,8,210,5,0,1,1,0,1
421,BLACK,LOSS,19,10,16,210,8,2,2,2,1,1
422,WHITE,LOSS,21,16,9,211,5,1,1,1,0,1
