,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
372,WHITE,DRAW,31,6,13,186,5,2,2,2,1,1
373,BLACK,LOSS,15,13,15,186,7,2,2,2,1,1
374,WHITE,DRAW,18,14,15,187,7,2,2,2,1,1
375,BLACK,LOSS,13,11,16,187,7,2,2,2,2,1
376,WHITE,DRAW,24,75,15,188,7,2,2,2,1,1
377,BLACK,DRAW,13,12,13,188,5,2,2,2,1,1
378,WHITE,DRAW,3,16,16,189,8,2,2,2,1,1
379,BLACK,LOSS,11,12,14,189,6,2,2,2,1,1
380,WHITE,DRAW,17,10,16,190,8,2,2,2,1,1
381,BLACK,LOSS,31,11,16,190,8,2,2,2,1,1
382,WHITE,DRAW,7,15,16,191,8,2,2,2,1,1
383,BLACK,LOSS,23,9,13,191,6,2,1,2,1,1
384,WHITE,LOSS,18,11,13,192,6,1,2,2,1,1
385,BLACK,LOSS,9,11,16,192,8,2,2,2,1,1
386,WHITE,DRAW,11,13,16,193,8,2,2,2,1,1
387,BLACK,LOSS,15,11,16,193,8,2,2,2,1,1
388,WHITE,DRAW,19,12,14,194,7,1,2,2,1,1
389,BLACK,LOSS,10,11,16,194,8,2,2,2,1,1
390,WHITE,DRAW,17,10,13,195,6,2,2,1,1,1
391,BLACK,LOSS,9,13,16,195,8,2,2,2,1,1
392,WHITE,DRAW,8,14,16,196,8,2,2,2,1,1
393,BLACK,DRAW,15,14,15,196,8,1,2,2,1,1
394,WHITE,DRAW,21,10,14,197,6,2,2,2,1,1
395,BLACK,LOSS,16,10,15,197,6,2,3,2,1,1
396,WHITE,DRAW,8,13,16,198,8,2,2,2,1,1
397,BLACK,LOSS,9,14,15,198,7,2,2,2,1,1
398,WHITE,DRAW,20,13,14,199,7,1,2,2,1,1
399,BLACK,LOSS,8,12,16,199,8,2,2,2,1,1
